stem,word,big_label,label
people,people,1,affective
shit,shit,1,affective
fuck,fuck,1,affective
let,let,1,affective
tell,tell,1,affective
fuck,fucking,1,affective
damn,damn,1,affective
makes,makes,1,affective
wrong,wrong,1,affective
crazy,crazy,1,affective
stupid,stupid,1,affective
kill,kill,1,affective
lie,lie,1,affective
truth,truth,1,affective
annoying,annoying,1,affective
literally,literally,1,affective
dumb,dumb,1,affective
death,death,1,affective
bs,bs,1,affective
tell,telling,1,affective
bullshit,bullshit,1,affective
lie,lies,1,affective
totally,totally,1,affective
absolutely,absolutely,1,affective
worse,worse,1,affective
kill,killed,1,affective
fear,fear,1,affective
kill,killing,1,affective
caught,caught,1,affective
gun,gun,1,affective
attack,attack,1,affective
lie,lying,1,affective
completely,completely,1,affective
except,except,1,affective
idiot,idiot,1,affective
blame,blame,1,affective
shooting,shooting,1,affective
fault,fault,1,affective
ridiculous,ridiculous,1,affective
islam,islam,1,affective
horror,horror,1,affective
kill,kills,1,affective
devil,devil,1,affective
awful,awful,1,affective
insane,insane,1,affective
beneran,beneran,1,affective
muslim,muslim,1,affective
gun,guns,1,affective
liars,liars,1,affective
murder,murder,1,affective
crime,crime,1,affective
rape,rape,1,affective
tcot,tcot,2,issue
strike,strike,1,affective
destroy,destroy,1,affective
terror,terror,1,affective
enemy,enemy,1,affective
political,political,2,issue
idiot,idiots,1,affective
gop,gop,2,issue
criminal,criminal,1,affective
dumbass,dumbass,1,affective
unreal,unreal,1,affective
violence,violence,1,affective
enemy,enemies,1,affective
unbelievable,unbelievable,1,affective
diaries,diaries,1,affective
claims,claims,1,affective
rumor,rumor,1,affective
assholes,assholes,1,affective
shocking,shocking,1,affective
laws,laws,2,issue
charge,charged,1,affective
attack,attacks,1,affective
broadcast,broadcast,1,affective
muslim,muslims,1,affective
threat,threat,1,affective
senate,senate,2,issue
revealed,revealed,1,affective
religious,religious,2,issue
charge,charges,1,affective
liberal,liberal,2,issue
expose,exposed,1,affective
accused,accused,1,affective
republican,republicans,2,issue
weapon,weapon,1,affective
syrian,syrian,2,issue
republican,republican,2,issue
terrorist,terrorist,1,affective
citizens,citizens,2,issue
warming,warming,2,issue
attack,attacked,1,affective
weapon,weapons,1,affective
fraud,fraud,1,affective
theft,theft,1,affective
conservative,conservative,2,issue
democracy,democracy,2,issue
corruption,corruption,1,affective
politicians,politicians,2,issue
christians,christians,1,affective
expose,expose,1,affective
constitution,constitution,2,issue
blame,blaming,1,affective
crime,crimes,1,affective
hoax,hoax,1,affective
radical,radical,2,issue
bombing,bombing,1,affective
scam,scam,1,affective
nra,nra,2,issue
democrat,democrats,2,issue
terrorist,terrorists,1,affective
threat,threats,1,affective
moron,moron,1,affective
islamic,islamic,1,affective
scheme,scheme,1,affective
bullets,bullets,1,affective
dems,dems,2,issue
suspense,suspense,1,affective
terrorism,terrorism,1,affective
amendment,amendment,2,issue
jews,jews,1,affective
democratic,democratic,2,issue
cheaters,cheaters,1,affective
hypocrites,hypocrites,1,affective
liberal,liberals,2,issue
hindu,hindu,1,affective
threatening,threatening,1,affective
rifle,rifle,1,affective
conservative,conservatives,2,issue
criminal,criminals,1,affective
potus,potus,2,issue
democrat,democrat,2,issue
expose,exposing,1,affective
isis,isis,1,affective
jihad,jihad,1,affective
genocide,genocide,1,affective
legislation,legislation,2,issue
moron,morons,1,affective
capitalism,capitalism,2,issue
tgdn,tgdn,2,issue
refugee,refugees,2,issue
socialist,socialist,2,issue
constitutional,constitutional,2,issue
lnyhbt,lnyhbt,2,issue
dumbasses,dumbasses,1,affective
ccot,ccot,2,issue
palestinians,palestinians,2,issue
libs,libs,2,issue
refugee,refugee,2,issue
rapists,rapists,2,issue
socialism,socialism,2,issue
scam,scams,1,affective
buddhist,buddhist,1,affective
unconstitutional,unconstitutional,2,issue
capitalist,capitalist,2,issue
firearms,firearms,1,affective
hindu,hindus,1,affective
communism,communism,2,issue
sharia,sharia,1,affective
extremist,extremists,1,affective
offenders,offenders,2,issue
guncontrol,guncontrol,2,issue
migrants,migrants,2,issue
bipartisan,bipartisan,2,issue
syrian,syrians,2,issue
extremist,extremist,1,affective
progressives,progressives,2,issue
amend,amend,2,issue
leftist,leftist,2,issue
repubs,repubs,2,issue
amendment,amendments,2,issue
extremism,extremism,1,affective
renewables,renewables,2,issue
commonsense,commonsense,2,issue
man-made,man-made,2,issue
scammers,scammers,1,affective
anti-gun,anti-gun,2,issue
ctot,ctot,2,issue
globalwarming,globalwarming,2,issue
redistribution,redistribution,2,issue
crony,crony,2,issue
systemic,systemic,2,issue
deniers,deniers,2,issue
confiscation,confiscation,2,issue
skeptics,skeptics,2,issue
generational,generational,2,issue
pro-gun,pro-gun,2,issue
gunsense,gunsense,2,issue
anti-abortion,anti-abortion,2,issue
gun-control,gun-control,2,issue
draconian,draconian,2,issue
lawlessness,lawlessness,2,issue
publichealth,publichealth,2,issue
cynics,cynics,2,issue
gunrights,gunrights,2,issue
rednationrising,rednationrising,2,issue
manmade,manmade,2,issue
opslam,opslam,2,issue
sceptics,sceptics,2,issue
revocation,revocation,2,issue
alarmists,alarmists,2,issue
wakeupamerica,wakeupamerica,2,issue
narps,narps,2,issue
